sv_kod;kod;plk;stacja;opiskod1;pelna;dzielnica;szerokosc;dlugosc;miasto;ulica;kod_p;gmina;kraj;wojewodztwo;nrposesjiwpis;promien;jednorazowy;kod_pracy;uwagi;blok
NULL;"""BO """"AUTOSTRADA"""" (";NULL;NULL;"""BO """"AUTOSTRADA"""" (STACJA)""";NULL;NULL;NULL;NULL;"""BO """"AUTOSTRADA""""";NULL;NULL;NULL;NULL;NULL;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;"""BUSKO ZDRÓJ """"Z"""" (";NULL;NULL;"""BUSKO ZDRÓJ """"Z"""" (STACJA)""";NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMOWICE (D);NULL;NULL;ADAMOWICE (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMOWICE (S);NULL;NULL;ADAMOWICE (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ADAMÓW (D);NULL;NULL;ADAMÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000091589;ADAMÓW (S);NULL;NULL;ADAMÓW (STACJA);33, 22-363 Adamów, Polska;NULL;51.11278910;23.32064290;ADAMÓW;NULL;22-360;gmina Rejowiec;POLSKA;LUBELSKIE;NULL;2000.000;NULL;NULL;NULL;NULL
NULL;ALBERTÓW (D);NULL;NULL;ALBERTÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALBERTÓW (S);NULL;NULL;ALBERTÓW (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALBIGOWA (D);NULL;NULL;ALBIGOWA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084600;ALBIGOWA (S);NULL;NULL;ALBIGOWA (STACJA);Łańcut, Albigowa, Powiat łańcucki, Poland;NULL;50.01425000;22.22414000;ALBIGOWA;NULL;NULL;Powiat łańcucki;Poland;Podkarpackie;NULL;500.000;NULL;NULL;NULL;NULL
NULL;ALEKSANDRÓW (D);NULL;NULL;ALEKSANDRÓW (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000084700;ALEKSANDRÓW (S);NULL;NULL;ALEKSANDRÓW (STACJA);ALEKSANDRÓW (STACJA) 46-320 woj.OPOLSKIE;NULL;51.09166640;18.47875350;KOWALE;NULL;46-320;NULL;POLSKA;OPOLSKIE;NULL;500.000;NULL;NULL;l;NULL
SV0000084652;ALEKSANDRÓW KUJ (S);21501;ALEKSANDRÓW KUJAWSKI;ALEKSANDRÓW KUJAWSKI (STACJA);Dworzec PKP Aleksandrów Kujawski, Wojska Polskiego 2, 87-700 Aleksandrów Kujawski, Polska;Świstucha;52.87627930;18.69624950;ALEKSANDRÓW KUJAWSKI;Wojska Polskiego;87-700;Aleksandrów Kujawski;POLSKA;KUJAWSKO-POMORSKIE;NULL;500.000;NULL;NULL;l;T
NULL;ALEKSANDRÓWEK (D);NULL;NULL;ALEKSANDRÓWEK (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ALEKSANDRÓWEK (S);NULL;NULL;ALEKSANDRÓWEK (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRESPOL (D);NULL;NULL;ANDRESPOL (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRESPOL (S);NULL;NULL;ANDRESPOL (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SV0000085900;ANDRYCHÓW (S);NULL;NULL;ANDRYCHÓW (STACJA);ANDRYCHÓW KRAKOWSKA woj.MAŁOPOLSKIE;NULL;49.85497000;19.33834000;ANDRYCHÓW;KRAKOWSKA;34-120;NULL;POLSKA;MAŁOPOLSKIE;NULL;500.000;NULL;NULL;NULL;NULL
NULL;ANDRYCHÓW GÓRN (S);NULL;NULL;ANDRYCHÓW GÓRNICA (STACJA);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRZEJÓWKA (D);NULL;NULL;ANDRZEJÓWKA (DOM);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NULL;ANDRZEJÓWKA (M);NULL;NULL;ANDRZEJÓWKA (MIASTO);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
