id;point;convert_point;name;oldName;isActive;station;institute;trackNo;usableLength;trackSurface;frameType;frontLength;lighting;plkId;isEsriStation
1;0xE6100000010CC0DA6EA8F674494080EAD848DFE92D40;POINT (14.956781651000028 50.91377740300004);Bogatynia;Bogatynia;tak;" ";Wałbrzych;" ";" ";" ";" ";" ";" ";52894;1
2;0xE6100000010CC857311840884940609A249BCD713040;POINT (16.444543549000059 51.064456009000025);Łagiewniki Średzkie;Łagiewniki Średzkie;nie;" ";Wałbrzych;" ";" ";" ";" ";" ";" ";53488;1
3;0xE6100000010CC84001F555B5494000C1B9ECFBD22F40;POINT (15.912078283000028 51.416685701000063);Chocianów;Chocianów;nie;" ";Wrocław;" ";" ";" ";" ";" ";" ";54262;1
4;0xE6100000010C08C539317ED14940201B879CEC1F2E40;POINT (15.062352077000071 51.636663583000029);Sieniawa Żarska;Sieniawa Żarska;tak;" ";Zielona Góra;" ";" ";" ";" ";" ";" ";41616;1
5;0xE6100000010C60E5C81E2FD8494010C880B4CBAC3040;POINT (16.674983293000025 51.68893799600005);Zaborowice;Zaborowice;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44529;1
6;0xE6100000010CD828D80A50D64940302C917BA28A3040;POINT (16.541541789000064 51.674317699000028);Góra Śląska;Góra;nie;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";44552;1
7;0xE6100000010CE0FE661374E8494040CA503B9A7C3040;POINT (16.486728389000064 51.816042352000068);Lasocice;Lasocice;tak;" ";Ostrów Wielkopolski;" ";" ";" ";" ";" ";" ";42879;1
8;0xE6100000010C708996882C64494040BB7A316EB22F40;POINT (15.848496958000055 50.782609056000069);Kowary Średnie;Kowary Średnie;nie;" ";Wałbrzych;" ";" ";" ";" ";" ";" ";56275;1
9;0xE6100000010C98FFFD87064F4A40B0AA69149B483740;POINT (23.28361632900004 52.617386817000067);Suchowolce;Suchowolce;tak;" ";Białystok;" ";" ";" ";" ";" ";" ";25312;1
10;0xE6100000010C90EDBF7F87824A409044DAC61F853640;POINT (22.520016125000041 53.019760102000077);Kulesze Kościelne;Kulesze Kościelne;tak;" ";Białystok;" ";" ";" ";" ";" ";" ";23531;1
11;0xE6100000010C00E19185A36F4A4070483A4287573340;POINT (19.341907634000052 52.872177788000045);Skępe;Skępe;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";20040;1
12;0xE6100000010C8077A8C933904A4050B8C8F1CE593440;POINT (20.350813972000026 53.12658043600004);Mława;Mława;tak;" ";Olsztyn;" ";" ";" ";" ";" ";" ";37226;1
13;0xE6100000010CE01FBED24DA44A4070FF3151DDEF3440;POINT (20.93697078200006 53.283624976000056);Chorzele;Chorzele;nie;" ";Siedlce;" ";" ";" ";" ";" ";" ";23416;1
14;0xE6100000010C68BF04C7D5FB4940B013178780263440;POINT (20.150398677000055 51.967461469000057);Skierniewice;Skierniewice;tak;Skierniewice;Łódź;19;328;P-8685;" ";300;jest;47001;1
15;0xE6100000010C200BEE2D033A4A40505867CBA5023540;POINT (21.010342324000078 52.453222028000027);Zegrze;Zegrze Południowe;tak;" ";Warszawa;" ";" ";" ";" ";" ";" ";119206;1
16;0xE6100000010C48D899AACA384A408032B5353AB43440;POINT (20.704013211000074 52.443684888000064);Modlin;Modlin;tak;" ";Warszawa;" ";" ";" ";" ";" ";" ";36467;1
17;0xE6100000010C20AAB82A761C4A4040DE073419F63440;POINT (20.961322071000041 52.222356167000044);Warszawa Wola;Warszawa-Wola;tak;" ";Warszawa;" ";" ";" ";" ";" ";" ";33423;1
18;0xE6100000010CD8C89986DE774A40F0500071C98F3340;POINT (19.561667502000034 52.936478448000059);Szczutowo;Szczutowo;tak;" ";Bydgoszcz;" ";" ";" ";" ";" ";" ";32763;1
19;0xE6100000010C58D5C5EC737A4A40400C9A6820E92D40;POINT (14.955325383000059 52.956662747000053);Głazów;Głazów;tak;Głazów;Szczecin;5;418;P - 2595,R-619;boczna;P-220, R-60;nie ma;13664;1
20;0xE6100000010C70163FF8D6A54A4020B039BB40022E40;POINT (15.004400111000052 53.295622855000033);Stargard Sz.Kluczewo;Stargard Szczecinski-Klu;tak;" ";Szczecin;" ";" ";" ";" ";" ";" ";2550;1
