,kod,plk,stacja,opiskod1,pelna,szerokosc,dlugosc,wojewodztwo,Coordinates
12,ALEKSANDRÓW KUJ (S),21501.0,ALEKSANDRÓW KUJAWSKI,ALEKSANDRÓW KUJAWSKI (STACJA),"Dworzec PKP Aleksandrów Kujawski, Wojska Polskiego 2, 87-700 Aleksandrów Kujawski, Polska",52.8762793,18.6962495,KUJAWSKO-POMORSKIE,"52.8762793,18.6962495,ALEKSANDRÓW KUJAWSKI (STACJA)"
23,ANIELINY (S),18242.0,ANIELINY,ANIELINY (STACJA),ANIELINY (STACJA) 89-110 woj.KUJAWSKO-POMORSKIE,53.129057,17.48634364,KUJAWSKO-POMORSKIE,"53.129057,17.48634364,ANIELINY (STACJA)"
30,ANTONIN (S),46011.0,ANTONIN,ANTONIN (STACJA),ANTONIN KOLEJOWA woj.WIELKOPOLSKIE Stacja:ANTONIN,51.51407216,17.85982698,WIELKOPOLSKIE,"51.51407216,17.85982698,ANTONIN (STACJA)"
34,ANTONIÓWKA (S),48769.0,ANTONIÓWKA,ANTONIÓWKA (STACJA),ANTONIÓWKA (STACJA) 26-630 woj.MAZOWIECKIE,51.42491113,21.27903252,MAZOWIECKIE,"51.42491113,21.27903252,ANTONIÓWKA (STACJA)"
35,ARCELIN (S),36772.0,ARCELIN,ARCELIN (STACJA),ARCELIN (STACJA) 09-100 woj.MAZOWIECKIE,52.6547147,20.3153459,MAZOWIECKIE,"52.6547147,20.3153459,ARCELIN (STACJA)"
41,AUGUSTÓW (S),12963.0,AUGUSTÓW,AUGUSTÓW (STACJA),AUGUSTÓW KOLEJOWA woj.PODLASKIE Stacja:AUGUSTÓW,53.85289366,23.02506924,PODLASKIE,"53.85289366,23.02506924,AUGUSTÓW (STACJA)"
42,AUGUSTÓW PORT (S),12955.0,AUGUSTÓW PORT,AUGUSTÓW PORT (STACJA),AUGUSTÓW AL. KARD. WYSZYŃSKIEGO woj.PODLASKIE Stacja:AUGUSTÓW PORT,53.86307063,23.0027183,PODLASKIE,"53.86307063,23.0027183,AUGUSTÓW PORT (STACJA)"
43,AUGUSTÓWKA (S),38984.0,AUGUSTÓWKA,AUGUSTÓWKA (STACJA),AUGUSTÓWKA (STACJA) 05-310 woj.MAZOWIECKIE,52.2108333,21.8616667,MAZOWIECKIE,"52.2108333,21.8616667,AUGUSTÓWKA (STACJA)"
45,BABI DÓŁ (S),17822.0,BABI DÓŁ,BABI DÓŁ (STACJA),BABI DÓŁ (STACJA) 83-330 woj.POMORSKIE,54.3016361,18.28854849,POMORSKIE,"54.3016361,18.28854849,BABI DÓŁ (STACJA)"
47,BABIAK (S),19174.0,BABIAK,BABIAK (STACJA),BABIAK (STACJA) 62-620 woj.WIELKOPOLSKIE,52.3535296,18.66987173,WIELKOPOLSKIE,"52.3535296,18.66987173,BABIAK (STACJA)"
