rok	miesiac	dzien	dzien_tygodnia	date	max_temerature_c	mean_temperature_c	min_temperature_c	max_dew_point_c	mean_dew_point_c	min_dew_point_c	max_humidity	mean_humidity	min_humidity	max_sea_level_pressure_hpa	mean_sea_level_pressure_hpa	min_sea_level_pressure_hpa	max_visibility_km	mean_visibility_km	min_visibility_km	max_wind_speed_mph	mean_wind_speed_mph	max_gust_speed_mph	cale_opadowe	cloud_cover	events	wind_dir_degrees	zip_code
2013	8	29	thursday	8/29/2013	27	21	18	18	16	14	83	72	55	1017.2711554666679684	1017.2711554666679684	1013.8847668000012974	16.09344	16.09344	16.09344	16	5	16	0	4		355	94041
2013	8	29	thursday	8/29/2013	27	22	17	17	15	14	94	79	48	1018.2870720666679697	1016.5938777333346342	1014.9006834000012987	16.09344	16.09344	16.09344	14	6	17	0	5		313	94063
2013	8	29	thursday	8/29/2013	23	20	16	16	14	13	93	75	57	1018.2870720666679697	1016.5938777333346342	1014.9006834000012987	16.09344	16.09344	16.09344	23	11	28	0	4		286	94107
2013	8	29	thursday	8/29/2013	27	22	17	17	16	15	87	69	51	1017.9484332000013026	1016.5938777333346342	1014.5620445333346316	16.09344	16.09344	16.09344	16	7	24	0	4		320	95113
2013	8	29	thursday	8/29/2013	26	22	18	17	16	16	87	71	54	1018.6257109333346368	1017.2711554666679684	1015.5779611333346329	16.09344	16.09344	16.09344	20	8	23	0	4		355	94301
2013	8	30	friday	8/30/2013	29	23	18	17	16	14	93	68	43	1017.9484332000013026	1016.5938777333346342	1013.8847668000012974	16.09344	16.09344	16.09344	20	6	23	0	2		5	94301
2013	8	30	friday	8/30/2013	31	24	17	17	16	13	93	65	37	1017.6097943333346355	1016.2552388666679671	1013.5461279333346303	16.09344	16.09344	16.09344	18	5	22	0	2		316	95113
2013	8	30	friday	8/30/2013	26	21	16	16	14	13	90	70	50	1017.6097943333346355	1015.9166000000013	1013.5461279333346303	16.09344	16.09344	11.265408	29	13	35	0	2		291	94107
2013	8	30	friday	8/30/2013	31	22	17	19	16	14	84	68	47	1016.9325166000013013	1016.5938777333346342	1012.530211333334629	16.09344	16.09344	16.09344	15	2	18	0	2		5	94041
2013	8	30	friday	8/30/2013	30	23	17	18	15	12	94	73	35	1018.6257109333346368	1016.2552388666679671	1013.5461279333346303	16.09344	16.09344	16.09344	15	2	17	0	2		292	94063
