date,temp,wind,humi,cloud
2013-08-29,70.4,7.4,73.2,4.2
2013-08-30,73,5.6,68.8,2
2013-08-31,68,7.4,70.8,1
2013-09-01,70,7.2,66.8,2.2
2013-09-02,70.8,7.4,74,5
2013-09-03,68.8,7.2,64.2,1.8
2013-09-04,68.6,7.8,67.2,1.2
2013-09-05,68,9,65.8,1.4
2013-09-06,72,3.6,57.2,0
2013-09-07,76.2,4.2,52.8,0.2
2013-09-08,70,4.6,66.8,0.8
2013-09-09,71.4,4.6,67.6,0.4
2013-09-10,69.2,5,70.4,2.4
2013-09-11,67.2,5.6,67.8,2.2
2013-09-12,67.2,5.6,73.2,5
2013-09-13,65.6,8,75,4.4
2013-09-14,63.8,8.2,75.4,4.8
2013-09-15,67.2,7.2,71.2,4.2
2013-09-16,68.6,7.2,71.2,3.2
2013-09-17,65,9.6,64.6,1.8
2013-09-18,67.6,5.4,59.4,0.2
2013-09-19,68.6,5,56.8,0
2013-09-20,65.8,5.6,68.8,3.8
2013-09-21,63.4,6.2,76.6,5.2
2013-09-22,62.6,6.2,71.4,1.2
2013-09-23,67.4,5.6,64.2,0
2013-09-24,66,9.6,64,0.6
2013-09-25,62,11.8,60.2,0.4
2013-09-26,62.8,6.4,50.8,0
2013-09-27,64,3.4,48.6,0.2
2013-09-28,65.8,5,55.4,0.4
2013-09-29,65.6,4.8,70.6,1.2
2013-09-30,66.4,6,71.8,3
2013-10-01,63,6.4,60.2,1.8
2013-10-02,62.8,6.2,61,0.8
2013-10-03,62,8.4,46.6,0
2013-10-04,69,6.6,32,0
2013-10-05,67.2,2.4,35.6,0
2013-10-06,67.2,2.8,40.2,2
2013-10-07,67,4.4,43.6,1.2
2013-10-08,61.8,5.2,59.2,1.2
2013-10-09,59.2,4.2,62.4,2.2
2013-10-10,60.4,4.4,62.6,0.6
2013-10-11,57,4.4,73,1.6
2013-10-12,57.6,5.6,71.6,2
2013-10-13,60.6,4.2,63,0.4
2013-10-14,62.8,3.2,51,0
2013-10-15,64.2,3.2,43.4,0
2013-10-16,65.2,2.4,42.4,0.4
2013-10-17,65.4,3.6,46.8,0
2013-10-18,61.4,3.6,61,0.2
2013-10-19,62.8,3,64,0
2013-10-20,59.2,4.2,73.8,2.8
2013-10-21,57.8,3.4,77.2,3.4
2013-10-22,58.4,3.8,78.2,4
2013-10-23,57.4,4,81.8,5.2
2013-10-24,55.2,4,78.6,5.2
2013-10-25,57.4,3,72.2,3.8
2013-10-26,59.8,3,70,0.4
2013-10-27,55.2,7.8,75.8,4.8
2013-10-28,57.6,9.6,65.8,5.6
2013-10-29,56.2,4.2,69.6,4.6
2013-10-30,55.4,3.6,68.6,0.6
2013-10-31,57.8,2.4,61.4,0
2013-11-01,60.6,2,58.2,0
2013-11-02,56.6,5.2,69,1.2
2013-11-03,54.6,5.2,59.4,2
2013-11-04,54.8,4.8,53.8,0
2013-11-05,58.8,3,46.6,0.4
2013-11-06,59,1.2,50.6,2
2013-11-07,60.8,3.2,58.6,1.4
2013-11-08,58.6,3.4,73.2,2.4
2013-11-09,57.6,2,66.8,0.8
2013-11-10,55.2,2.6,76.6,3
2013-11-11,58,2.6,74,5
2013-11-12,62,3.4,64.2,1.8
2013-11-13,60,3.2,73.6,1.8
2013-11-14,56.2,4.8,82.2,4.8
2013-11-15,55.4,6,66,0.4
2013-11-16,54,6,69.2,1
2013-11-17,53.2,3,73.8,1.6
2013-11-18,52.2,3.2,73.6,2.6
2013-11-19,56.4,4.6,79.2,6.6
2013-11-20,56.8,5.4,88.4,7
2013-11-21,55.6,6.4,64.6,5
2013-11-22,57.8,6,36,0.8
2013-11-23,53.8,2.2,54.2,0
2013-11-24,52.2,2,67,0
2013-11-25,51.6,1.4,69,0.4
2013-11-26,53,1,69.2,2.4
2013-11-27,53.8,1.2,70.8,2.2
2013-11-28,56.6,2.4,66.6,1.2
2013-11-29,54.6,1.6,66.8,0
2013-11-30,53,2,72.2,1
2013-12-01,54.6,2,69.6,0.2
2013-12-02,52.8,5,78.2,3
2013-12-03,50,8.4,66.6,4
2013-12-04,43.2,3.4,51,0
2013-12-05,40.6,2.2,50.8,0
2013-12-06,43.6,5.4,65.4,4.8
2013-12-07,43.8,8.6,63.8,2.4
2013-12-08,39.2,4.6,60.2,0.8
2013-12-09,40.2,4.2,49.2,0
2013-12-10,41,1.2,60.2,0.6
2013-12-11,44.4,1.4,59.4,0.2
2013-12-12,44.4,1.4,63.8,0.4
2013-12-13,46.2,2.2,70.8,1.8
2013-12-14,47.8,1,64.8,0.4
2013-12-15,47.4,1,65.4,1.4
2013-12-16,51.4,1,60,2.2
2013-12-17,51.4,1.2,61.8,2.8
2013-12-18,50.6,4.2,72.8,2.6
2013-12-19,50.6,7.4,61.4,1.8
2013-12-20,48,2.4,43.6,0.4
2013-12-21,49.6,3.2,70.2,0.2
2013-12-22,52.2,1.2,66.4,1
2013-12-23,50.4,1.4,66.2,0.2
2013-12-24,53.2,1.6,63.8,0.8
2013-12-25,51.4,1.2,63.4,0
2013-12-26,52,1.2,64,0
2013-12-27,48.2,1,69.2,1.8
2013-12-28,50.4,1.8,63,0
2013-12-29,52.6,2,46,0
2013-12-30,49.2,1.6,58,1.4
2013-12-31,48.2,1.6,76,3.6
2014-01-01,47.8,1,69,1.2
2014-01-02,51.2,0.8,61.6,1.2
2014-01-03,51,1.8,60.8,1.4
2014-01-04,52.4,2.2,64,0.8
2014-01-05,50.8,1.8,48.6,0
2014-01-06,50,1.2,60.8,2.4
2014-01-07,52.6,2.6,66.8,3.2
2014-01-08,53.4,4.6,81.8,5.8
2014-01-09,53,5,76.6,4.4
2014-01-10,52,2.6,74.2,2.6
2014-01-11,50.8,2.8,80.8,3.6
2014-01-12,50.8,4.6,71.8,2.2
