city,date,station,trips
Mountain View,29/08/2013,27,6
Mountain View,29/08/2013,28,3
Mountain View,29/08/2013,29,1
Mountain View,29/08/2013,30,1
Mountain View,29/08/2013,33,1
Mountain View,30/08/2013,27,4
Mountain View,30/08/2013,28,6
Mountain View,30/08/2013,29,4
Mountain View,30/08/2013,30,2
Mountain View,30/08/2013,33,2
Mountain View,31/08/2013,27,2
Mountain View,31/08/2013,28,6
Mountain View,31/08/2013,29,4
Mountain View,31/08/2013,30,4
Mountain View,31/08/2013,33,7
Mountain View,01/09/2013,27,2
Mountain View,01/09/2013,28,3
Mountain View,01/09/2013,29,1
Mountain View,01/09/2013,30,8
Mountain View,01/09/2013,33,2
Mountain View,02/09/2013,28,6
Mountain View,02/09/2013,29,1
Mountain View,02/09/2013,30,1
Mountain View,02/09/2013,33,2
Mountain View,03/09/2013,28,5
Mountain View,03/09/2013,30,1
Mountain View,03/09/2013,33,4
Mountain View,04/09/2013,27,2
Mountain View,04/09/2013,28,5
Mountain View,04/09/2013,29,1
Mountain View,04/09/2013,33,2
Mountain View,05/09/2013,28,4
Mountain View,05/09/2013,29,1
Mountain View,05/09/2013,30,1
Mountain View,05/09/2013,33,1
Mountain View,06/09/2013,28,12
Mountain View,06/09/2013,30,2
Mountain View,06/09/2013,33,1
Mountain View,07/09/2013,27,5
Mountain View,07/09/2013,28,3
Mountain View,07/09/2013,29,2
Mountain View,07/09/2013,30,4
Mountain View,07/09/2013,33,3
Mountain View,08/09/2013,27,5
Mountain View,08/09/2013,28,3
Mountain View,08/09/2013,29,1
Mountain View,08/09/2013,30,1
Mountain View,09/09/2013,27,3
Mountain View,09/09/2013,28,8
Mountain View,09/09/2013,29,1
Mountain View,09/09/2013,33,4
Mountain View,10/09/2013,27,2
Mountain View,10/09/2013,28,5
Mountain View,10/09/2013,33,1
Mountain View,11/09/2013,28,3
Mountain View,11/09/2013,29,1
Mountain View,11/09/2013,30,1
Mountain View,11/09/2013,33,1
Mountain View,12/09/2013,28,6
Mountain View,12/09/2013,29,2
Mountain View,12/09/2013,33,2
Mountain View,13/09/2013,27,3
Mountain View,13/09/2013,28,7
Mountain View,13/09/2013,29,2
Mountain View,14/09/2013,27,2
Mountain View,14/09/2013,28,1
Mountain View,14/09/2013,29,2
Mountain View,14/09/2013,33,2
Mountain View,15/09/2013,27,4
Mountain View,15/09/2013,28,2
Mountain View,16/09/2013,28,6
Mountain View,16/09/2013,33,1
Mountain View,17/09/2013,28,8
Mountain View,17/09/2013,29,2
Mountain View,17/09/2013,33,1
Mountain View,18/09/2013,28,4
Mountain View,18/09/2013,33,1
Mountain View,19/09/2013,27,2
Mountain View,19/09/2013,28,7
Mountain View,19/09/2013,29,2
Mountain View,19/09/2013,33,2
Mountain View,20/09/2013,27,1
Mountain View,20/09/2013,28,5
Mountain View,20/09/2013,29,2
Mountain View,20/09/2013,33,2
Mountain View,21/09/2013,28,1
Mountain View,21/09/2013,29,3
Mountain View,22/09/2013,27,2
Mountain View,22/09/2013,28,1
Mountain View,23/09/2013,27,8
Mountain View,23/09/2013,28,13
Mountain View,23/09/2013,29,1
Mountain View,23/09/2013,30,1
Mountain View,24/09/2013,27,5
Mountain View,24/09/2013,28,5
Mountain View,24/09/2013,29,2
Mountain View,24/09/2013,33,3
Mountain View,25/09/2013,27,5
Mountain View,25/09/2013,28,9
Mountain View,25/09/2013,29,1
Mountain View,25/09/2013,30,1
Mountain View,25/09/2013,33,4
Mountain View,26/09/2013,27,5
Mountain View,26/09/2013,28,8
Mountain View,26/09/2013,29,1
Mountain View,26/09/2013,33,3
Mountain View,27/09/2013,27,3
Mountain View,27/09/2013,28,5
Mountain View,27/09/2013,29,2
